Batch ID,Leather type,OperatorID,scanned area,time,date,,,,,,
7602S.I.,PEL.F20P.MACA013,giuseppe,87.75,5565,01/10/2020,,,,,,
7602S.I.,PEL.F20P.MACA013,giuseppe,87.89,6585,01/10/2020,,,,,,
7698S.I.,PEL.F20P.MACA000,x.pol.t08,2.557,294,01/10/2020,,,,,,
7701,PEL.F30.CER000,nicolagaletta,2.882,302,01/10/2020,,,,,,
7643S.I.,PEL.F20P.MACA880,giuseppe,30.05,5644,01/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,67.15,5482,01/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,30.35,1036,01/10/2020,,,,,,
7667S.I.,PEL.F20P.MACA745,giuseppe,86.38,8778,01/10/2020,,,,,,
7667C,CRO.S20P.MACA745,giuseppe,41.3,1132,01/10/2020,,,,,,
7573,PEL.F30.CER000,giuseppe,0.356,0,01/10/2020,,,,,,
7681S.I.,PEL.F20P.MACA80,giuseppe,101.25,7436,01/10/2020,,,,,,
7681C,CRO.S20P.MACA80,giuseppe,49.83,2968,01/10/2020,,,,,,
7619S.I.,PEL.F20P.MACA000,giuseppe,21.47,1824,02/10/2020,,,,,,
7619C,CRO.S20P.MACA000,giuseppe,10.9,212,01/10/2020,,,,,,
7582,PEL.F20P.MACA740,giuseppe,0.607,0,02/10/2020,,,,,,
7582C,CRO.S20P.MACA740,giuseppe,0.429,0,02/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,0.439,0,02/10/2020,,,,,,
7638S.I.,PEL.F20P.MACA86,x.pol.t23,87.16,5950,02/10/2020,,,,,,
7585,PEL.F20P.MACA83,x.pol.t23,17.55,1290,02/10/2020,,,,,,
7585C,CRO.S20P.MACA83,x.pol.t23,9.3,397,02/10/2020,,,,,,
7673C,CRO.S20P.MACA850,giuseppe,0.274,0,02/10/2020,,,,,,
2049C,CRO.S20P.MACA540,giuseppe,0.74,0,02/10/2020,,,,,,
7655,PEL.F10.GEN00/11,giuseppe,38.4,2101,02/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,31.8,1825,02/10/2020,,,,,,
7654C,CRO.S20P.MACA11,giuseppe,23.85,787,02/10/2020,,,,,,
7643S.I.,PEL.F20P.MACA880,x.pol.t23,5.393,1569,02/10/2020,,,,,,
7635,PEL.F20P.MACA745,giuseppe,1.321,0,02/10/2020,,,,,,
7673S.I.,PEL.F20P.MACA850,giuseppe,94.45,6367,02/10/2020,,,,,,
7673C,CRO.S20P.MACA850,giuseppe,53.55,2087,02/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,75.75,4638,02/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,76.02,5382,02/10/2020,,,,,,
7688C,CRO.S20P.MACA880,giuseppe,36,1667,02/10/2020,,,,,,
7688C,CRO.S20P.MACA880,giuseppe,24.98,1384,02/10/2020,,,,,,
7692,PEL.F30.CER009,giuseppe,12.488,1180,02/10/2020,,,,,,
7595C,CRO.S30.CER009,giuseppe,0.573,0,02/10/2020,,,,,,
7625S.I.,PEL.F20P.MACA007,giuseppe,0.011,0,02/10/2020,,,,,,
7623C,CRO.S20P.MACA83,giuseppe,0.22,0,02/10/2020,,,,,,
7652C,CRO.S30.CER880,giuseppe,0.024,0,02/10/2020,,,,,,
7698S.I.,PEL.F20P.MACA000,x.pol.t08,81.1,7727,02/10/2020,,,,,,
7698C,CRO.S20P.MACA000,nicolagaletta,40.58,1372,02/10/2020,,,,,,
7539,PEL.F20P.MACA540,giuseppe,0.214,0,02/10/2020,,,,,,
7603,PEL.F10.GEN00/11,giuseppe,3.904,254,02/10/2020,,,,,,
7633,PEL.F10.GEN00/11,giuseppe,3.831,359,02/10/2020,,,,,,
7497,PEL.F10.GEN00/11,giuseppe,2.39,388,02/10/2020,,,,,,
7677,PEL.F10P.GEN00/80,giuseppe,0.203,0,02/10/2020,,,,,,
7688S.I.,PEL.F20P.MACA880,giuseppe,0.721,0,02/10/2020,,,,,,
7678S.I.,PEL.F20P.MACA11,x.pol.t21,4.2,382,02/10/2020,,,,,,
7678C,CRO.S20P.MACA11,x.pol.t21,4,171,02/10/2020,,,,,,
7639S.I.,PEL.F20P.MACA83,x.pol.t22,94.552,8424,05/10/2020,,,,,,
7702,PEL.F10.GEN00/11,x.pol.t22,89.6,7521,02/10/2020,,,,,,
7531,PEL.L15.1804,x.pol.t23,72.3,6379,03/10/2020,,,,,,
7686,PEL.L20.2540,giuseppe,68.88,7121,02/10/2020,,,,,,
7686,PEL.L20.2540,giuseppe,101.11,10425,06/10/2020,,,,,,
7283,PEL.L15.1814,giuseppe,20.15,1526,02/10/2020,,,,,,
7547,PEL.L15.2601,x.pol.t23,71.88,5548,02/10/2020,,,,,,
7547,PEL.L15.2601,x.pol.t23,104.4,8677,03/10/2020,,,,,,
7390,PEL.L15.1814,giuseppe,118.36,10579,02/10/2020,,,,,,
7390,PEL.L15.1814,vitogiorgio,109.25,10727,08/10/2020,,,,,,
7463,PEL.L15.2602,x.pol.t21,136.57,12397,02/10/2020,,,,,,
7334,PEL.L15.1814,giuseppe,37.02,2934,02/10/2020,,,,,,
7524,PEL.L15.2616,x.pol.t08,103.01,8305,03/10/2020,,,,,,
7524,PEL.L15.2616,x.pol.t08,130.9,8065,02/10/2020,,,,,,
7626,PEL.F30.CER000,giuseppe,0.991,0,02/10/2020,,,,,,
7573C,CRO.S30.CER000,giuseppe,0.365,0,02/10/2020,,,,,,
7524,PEL.L15.2616,vitogiorgio,0.53,0,03/10/2020,,,,,,
7334,PEL.L15.1814,vitogiorgio,0.647,0,03/10/2020,,,,,,
7664S.I.,PEL.F20P.MACA330,vitogiorgio,0.176,0,03/10/2020,,,,,,
7611,PEL.L15.2616,x.pol.t21,99.05,9612,03/10/2020,,,,,,
7612,PEL.L15.2602,x.pol.t21,35.18,3072,05/10/2020,,,,,,
7462,PEL.L15.2609,x.pol.t21,52.31,3505,03/10/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,vitogiorgio,90.4,6700,03/10/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,vitogiorgio,90.45,7211,03/10/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,vitogiorgio,89.9,12345,03/10/2020,,,,,,
7695S.I.,PEL.F20P.MACA540,vitogiorgio,90.5,6752,03/10/2020,,,,,,
7695C,CRO.S20P.MACA540,vitogiorgio,64,3084,03/10/2020,,,,,,
7695C,CRO.S20P.MACA540,vitogiorgio,54.48,2347,03/10/2020,,,,,,
7695C,CRO.S20P.MACA540,vitogiorgio,57.63,2452,03/10/2020,,,,,,
7695C,CRO.S20P.MACA540,vitogiorgio,54.55,2069,03/10/2020,,,,,,
7418,PEL.F20P.MACA34,vitogiorgio,7.2,1113,03/10/2020,,,,,,
7583,PEL.F30.VIM865,giuseppe,48.293,4018,05/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,vitogiorgio,74.49,4821,03/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,vitogiorgio,74.5,4322,03/10/2020,,,,,,
7654C,CRO.S20P.MACA11,vitogiorgio,43.24,3189,03/10/2020,,,,,,
7654C,CRO.S20P.MACA11,vitogiorgio,47.5,1855,03/10/2020,,,,,,
7530,PEL.L15.2605,x.pol.t21,31.6,2693,05/10/2020,,,,,,
7602S.I.,PEL.F20P.MACA013,nicolagaletta,0.263,55,05/10/2020,,,,,,
7585,PEL.F20P.MACA83,x.pol.t21,0.437,258,05/10/2020,,,,,,
7585C,CRO.S20P.MACA83,giuseppe,1.338,80,05/10/2020,,,,,,
7703,PEL.F30.VIM800,x.pol.t08,133.6,13282,05/10/2020,,,,,,
7617,PEL.F10.GEN00/83,giuseppe,118.8,5515,05/10/2020,,,,,,
7562,PEL.F30.CER830,giuseppe,4.2,0,05/10/2020,,,,,,
7562C,CRO.S30.CER830,giuseppe,4,132,05/10/2020,,,,,,
7644,PEL.F30.CER910,giuseppe,44.763,2691,05/10/2020,,,,,,
7644C,CRO.S30.CER910,giuseppe,22.83,892,05/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,57.95,4027,05/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,58.11,3576,05/10/2020,,,,,,
7654S.I.,PEL.F20P.MACA11,giuseppe,58.2,3508,05/10/2020,,,,,,
7678C,CRO.S20P.MACA11,giuseppe,39.3,1610,05/10/2020,,,,,,
7678C,CRO.S20P.MACA11,giuseppe,27.3,1341,05/10/2020,,,,,,
7678C,CRO.S20P.MACA11,giuseppe,36.18,967,05/10/2020,,,,,,
7646,PEL.F30.CER745,giuseppe,23.913,1270,05/10/2020,,,,,,
7646C,CRO.S30.CER745,giuseppe,14.3,339,05/10/2020,,,,,,
7651,PEL.F30.CER747,giuseppe,57.913,4901,05/10/2020,,,,,,
7651C,CRO.S30.CER747,giuseppe,27.9,707,05/10/2020,,,,,,
7547,PEL.L15.2601,giuseppe,0.742,390,05/10/2020,,,,,,
7499,PEL.F20P.MACA330,giuseppe,0.579,0,05/10/2020,,,,,,
7656S.I.,PEL.F20P.MACA013,giuseppe,0.377,0,05/10/2020,,,,,,
7656C,CRO.S20P.MACA013,giuseppe,0.168,101,05/10/2020,,,,,,
