,Unnamed: 0,Batch ID,Leather type,OperatorID,scanned area,time,date,Year,week_no,month
209,209,7585,PEL.F20P.MACA83,x.pol.t21,0.43700000000000006,258,2020-10-05,2020,41,10
210,210,7585C,CRO.S20P.MACA83,giuseppe,1.338,80,2020-10-05,2020,41,10
211,211,7703,PEL.F30.VIM800,x.pol.t08,133.6,13282,2020-10-05,2020,41,10
212,212,7617,PEL.F10.GEN00/83,giuseppe,118.8,5515,2020-10-05,2020,41,10
213,213,7562,PEL.F30.CER830,giuseppe,4.2,0,2020-10-05,2020,41,10
214,214,7562C,CRO.S30.CER830,giuseppe,4.0,132,2020-10-05,2020,41,10
215,215,7644,PEL.F30.CER910,giuseppe,44.763000000000005,2691,2020-10-05,2020,41,10
216,216,7644C,CRO.S30.CER910,giuseppe,22.83,892,2020-10-05,2020,41,10
217,217,7654S.I.,PEL.F20P.MACA11,giuseppe,57.95,4027,2020-10-05,2020,41,10
218,218,7654S.I.,PEL.F20P.MACA11,giuseppe,58.11,3576,2020-10-05,2020,41,10
219,219,7654S.I.,PEL.F20P.MACA11,giuseppe,58.2,3508,2020-10-05,2020,41,10
220,220,7678C,CRO.S20P.MACA11,giuseppe,39.3,1610,2020-10-05,2020,41,10
221,221,7678C,CRO.S20P.MACA11,giuseppe,27.3,1341,2020-10-05,2020,41,10
222,222,7678C,CRO.S20P.MACA11,giuseppe,36.18,967,2020-10-05,2020,41,10
223,223,7646,PEL.F30.CER745,giuseppe,23.913,1270,2020-10-05,2020,41,10
224,224,7646C,CRO.S30.CER745,giuseppe,14.3,339,2020-10-05,2020,41,10
225,225,7651,PEL.F30.CER747,giuseppe,57.913000000000004,4901,2020-10-05,2020,41,10
226,226,7651C,CRO.S30.CER747,giuseppe,27.9,707,2020-10-05,2020,41,10
227,227,7547,PEL.L15.2601,giuseppe,0.742,390,2020-10-05,2020,41,10
228,228,7499,PEL.F20P.MACA330,giuseppe,0.579,0,2020-10-05,2020,41,10
229,229,7656S.I.,PEL.F20P.MACA013,giuseppe,0.377,0,2020-10-05,2020,41,10
230,230,7656C,CRO.S20P.MACA013,giuseppe,0.168,101,2020-10-05,2020,41,10
231,231,7524,PEL.L15.2616,giuseppe,0.2,0,2020-10-05,2020,41,10
232,232,7693,PEL.F30.VIM020,x.pol.t08,52.7,4796,2020-10-05,2020,41,10
233,233,7658S.I.,PEL.F20P.MACA540,giuseppe,0.293,22,2020-10-05,2020,41,10
234,234,7667C,CRO.S20P.MACA745,giuseppe,0.389,0,2020-10-05,2020,41,10
235,235,7673C,CRO.S20P.MACA850,giuseppe,0.039,0,2020-10-05,2020,41,10
236,236,7682S.I. PROVA1,PEL.F20P.MACA80,giuseppe,0.787,0,2020-10-05,2020,41,10
237,237,7449,PEL.F30.VIM710,x.pol.t08,1.944,225,2020-10-05,2020,41,10
238,238,7626,PEL.F30.CER000,giuseppe,36.4,2979,2020-10-05,2020,41,10
239,239,7573C,CRO.S30.CER000,giuseppe,18.8,506,2020-10-05,2020,41,10
240,240,7664S.I.,PEL.F20P.MACA330,giuseppe,58.0,5273,2020-10-05,2020,41,10
241,241,7664C,CRO.S20P.MACA330,giuseppe,43.85,1701,2020-10-05,2020,41,10
242,242,7673S.I.,PEL.F20P.MACA850,giuseppe,0.502,0,2020-10-06,2020,41,10
243,243,7652,PEL.F30.CER880,giuseppe,1.032,0,2020-10-06,2020,41,10
244,244,7652,PEL.F30.CER880,giuseppe,65.85,7851,2020-10-06,2020,41,10
245,245,7652,PEL.F30.CER880,giuseppe,65.95,6676,2020-10-06,2020,41,10
246,246,7652C,CRO.S30.CER880,vitogiorgio,37.85,1290,2020-10-07,2020,41,10
247,247,7652C,CRO.S30.CER880,vitogiorgio,37.95,1514,2020-10-07,2020,41,10
248,248,7698S.I.,PEL.F20P.MACA000,vitogiorgio,75.85,4141,2020-10-07,2020,41,10
249,249,7698S.I.,PEL.F20P.MACA000,vitogiorgio,76.816,4532,2020-10-07,2020,41,10
250,250,7698C,CRO.S20P.MACA000,vitogiorgio,35.4,1088,2020-10-07,2020,41,10
251,251,7698C,CRO.S20P.MACA000,vitogiorgio,34.535,628,2020-10-07,2020,41,10
252,252,7591,PEL.F30.VIM800,giuseppe,0.14400000000000002,0,2020-10-06,2020,41,10
253,253,7652C,CRO.S30.CER880,giuseppe,0.12,130,2020-10-06,2020,41,10
254,254,7663S.I.,PEL.F20P.MACA001,vitogiorgio,69.285,5701,2020-10-07,2020,41,10
255,255,7663S.I.,PEL.F20P.MACA001,nicolagaletta,68.05,6376,2020-10-09,2020,41,10
256,256,7663C,CRO.S20P.MACA001,giuseppe,46.8,1804,2020-10-06,2020,41,10
257,257,7663C,CRO.S20P.MACA001,giuseppe,43.93,1502,2020-10-06,2020,41,10
258,258,7625S.I.,PEL.F20P.MACA007,giuseppe,70.9,5315,2020-10-06,2020,41,10
259,259,7625S.I.,PEL.F20P.MACA007,giuseppe,71.1,4697,2020-10-06,2020,41,10
260,260,7625S.I.,PEL.F20P.MACA007,giuseppe,71.0,7276,2020-10-06,2020,41,10
261,261,7625C,CRO.S20P.MACA007,giuseppe,48.1,1473,2020-10-06,2020,41,10
262,262,7625C,CRO.S20P.MACA007,giuseppe,49.78,1445,2020-10-06,2020,41,10
263,263,7625C,CRO.S20P.MACA007,giuseppe,48.95,1185,2020-10-06,2020,41,10
264,264,7604S.I.,PEL.F20P.MACA86,giuseppe,0.08,0,2020-10-06,2020,41,10
265,265,7634S.I.,PEL.F20P.MACA745,giuseppe,1.6,0,2020-10-06,2020,41,10
266,266,7570C,CRO.S20P.MACA745,giuseppe,1.25,0,2020-10-06,2020,41,10
267,267,7667S.I.,PEL.F20P.MACA745,giuseppe,63.15,6689,2020-10-06,2020,41,10
268,268,7667S.I.,PEL.F20P.MACA745,giuseppe,62.8,6686,2020-10-06,2020,41,10
269,269,7667S.I.,PEL.F20P.MACA745,giuseppe,62.8,5826,2020-10-06,2020,41,10
270,270,7667S.I.,PEL.F20P.MACA745,giuseppe,63.32,5894,2020-10-06,2020,41,10
271,271,7667C,CRO.S20P.MACA745,giuseppe,41.15,1365,2020-10-06,2020,41,10
272,272,7667C,CRO.S20P.MACA745,giuseppe,42.25,1691,2020-10-06,2020,41,10
273,273,7667C,CRO.S20P.MACA745,giuseppe,39.76,1298,2020-10-06,2020,41,10
274,274,7667C,CRO.S20P.MACA745,giuseppe,42.69,1188,2020-10-06,2020,41,10
275,275,7591,PEL.F30.VIM800,giuseppe,0.145,0,2020-10-06,2020,41,10
276,276,7591,PEL.F30.VIM800,giuseppe,0.145,0,2020-10-06,2020,41,10
277,277,7552,PEL.F20P.MACA81,x.pol.t08,11.8,1783,2020-10-06,2020,41,10
278,278,7356,PEL.F20P.MACA11,x.pol.t08,14.8,1085,2020-10-06,2020,41,10
279,279,2038C,CRO.S20P.MACA11,x.pol.t08,11.05,391,2020-10-06,2020,41,10
280,280,7698S.I.,PEL.F20P.MACA000,giuseppe,6.689,939,2020-10-06,2020,41,10
281,281,7680S.I.,PEL.F20P.MACA755,giuseppe,66.25,6022,2020-10-06,2020,41,10
282,282,7680S.I.,PEL.F20P.MACA755,giuseppe,66.05,3476,2020-10-06,2020,41,10
